200 200










                                                                                                                                                            #####################                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #...................#                                                     
                                                                                                                                                            #c.M................#                                                     
                                                                                                                                                            #...........M.......#                                                     
                                                                                 ###################                                                        #...................#                                                     
                                                                                 #.................#                                                        #.....c.............#                                                     
                                                                                 #..............c..#                                                        #...................#                                                     
                                                                                 #.................#                                                        ############.########                                                     
                                                                                 #.................#                                                                   #D#                                                            
                                                                                 #.................#                                                                   #.#                                                            
                                                                                 #.................#                                                                   #.#                                                            
                                                                                 #......Mc....M....#                                                                   #.#                                                            
                                                                                 #.................#                                                                   #.#                                                            
                                                                                 #############.#####                                                                   #.#                                                            
                                                                                             #D#                                                                       #.#                                                            
                                                                                             #.#                                                                       #.#                                                            
                               ###################                                           #D#                                                                       #.#                                                            
                               #.................#                                    ########.########                                                                #.#                                                            
                               #.................#                                    #...............#                                                                #.#                                                            
                               #.................#                                    #...............#                                                                #.#                                                            
                               #.............c...#                                    #...............#                                                                #.#                                                            
                               #......M...M...c..#                                    #M............c.#                                                                #.#                                                            
                               #.................#                                    #...............#                                                                #.#                                                            
                               #.................#                                    #...............#                                                                #.#                                                            
                               #.................#                                    #...M...........#                                                                #.#                                                            
                               #.................#                                    #...............#                                                                #D#                                                            
                               #.................#                                    #...c...........#                                                            #####.####                                                         
                               #########.##..#####                                    #...............#                                     ###################    #....c...#                                                         
                                       #.###D#                                        #...............#                                     #.................#    #.....M..#                                                         
                                       #.....#                                        #...............############                          #.................#    #........#                                                         
                                       #.##...#                                       ##################......M..#                          #.................#    #.....c..#                                                         
                                       #.##...#                  #######################               #.........#                          #.................#    #........#                                                         
                                       #.# ##.##                 #........c............#               #.M.......#                          #.................#    #........#                                                         
                                       #.#  #...##               #M....................#               #.........#                          #.................#    #M.......#                                                         
                                       #.#  #.#...##             #.....................#               #..c......#                          #.................#    #........#                                                         
                                       #.#  #..##...#            #.....................#               #.........#                          #..c......L.......#    #........#                                                         
                                       #.#   #...##..#           #.....................#               #.........#                          #.................#    #........#                                                         
                                       #.#    ##..##..##         #.........c...........#               #......c..#                          #.................#    ##.#######                                                         
                                       #.#      #.# #...#        #....M................#               #.........#                          #.................#     #D#                                                               
                                       #.#      #..# ##.#        #.....................#               ###.#.#####                          #.................#     #.#                                                               
                                       #.#       #.####.###      #############.#########                 #D#.#                              #.................#    #..#                                                               
                                       #.#       #....#....##                #D#                         #.#.#                              #.......M.........#   #..#                                                                
                                       #.#        ###.####...##              #.#                      ####.#.#################              #c................#  #..#                                                                 
                                       #.#          #.#   ##...#             #.#                     #.....#.................#              #.................#  #.#                                                                  
                                       #.#          #.#     ##.#             #.#                    #..#####.................#              #...........M.....#  #.#                                                                  
                                       #.#          #.#      #.#######       #.#                    #.#    #.M...............#              #.................#  #.#                                                                  
