200 200










                                                                                                                                                                       #######################                                        
                                                                     ##################                                                                                #.....................#                                        
                                                                     #.......M........#                                                                                #.....................#                                        
                                                                     #................#                                                                                #..................Mc.#                                        
                                                                     #................#                                                                                #.....................#                                        
                                                                     #................#                                                                                #.....................#                                        
                                                                     #................#                                                                                #....c................#                                        
                                                                     #.............c..#                                                                                #.....................#                                        
                                                                     #................#                                                                                #.....................#                                        
                                                                     #.....M.c........#                                                                                #.....................#                                        
                                                                     #................#                                                                                #.....................#                                        
                                   ####################              ######..######..##                                       ##################                       #.....................#                                        
                                   #......M...........#                  #.D#      #.#                                        #................#                       #..............M......#                                        
                                   #..................#                 #..#       #.#                                        #.....M..........#                       #.....................#                                        
                                   #..................#                 #.#        #..#                                       #c...............#                       #.....................#                                        
                                   #.........M........#                 #.#         #.##                                      #................#                       #.....................#                                        
                                   #..................#                 #.#         #...#                                     #................#                       #########.#.###########                                        
                                   #................c.#                 #.#          ##..#                                    #................#                               #D#.#                                                  
                                   #..........c.......#                #..#            #.#                                    #................#                              #..#.#                                                  
                                   #..................#                #D#             #.#                                    #................#                              #.##.#                                                  
                                   #..................#  ##############..#####         #..#                                   #................#                              #.##.#                                                  
                                   ##############.#####  #...................#          #..#                                  #................#                             ##.##.#                                                  
                                                #D.#     #...............M...#           #.#                                  #................#                         ####...##.#                                                  
                                                 #.#     #...................#           #.#                                  #................#                        #.....## #.#                                                  
                                                 #.#     #...........M.......#           #.#  ##############                  #.......M........#                       #..####  #..#                                                  
                                                 #.#######...................#           #..# #............#                  #................#                     ##..#      #..#                                                  
                                                 #......D....................#            #.# #......M.....#                  #................#                #####...#       #..#                                                  
                                                  ########.......c...........#            #.# #............#                  #................#        ########......##        #..#                                                  
                                                         #...................#            #..##....Mc......#                  #............L...#       #.........#####          #..#                                                  
                                                         #...................#             #...c...........####################................#########.########              #...#                                                  
                                                         #...................#              ###.................................................D........#                    #..#.#                                                  
                                                         #............c......#                #............##############################################                    #..##.#                                                  
                                                         #...................#                #............#                                                                 #.# #.#                                                  
                                                         #...................#                #............#                                                                 #.# #.#                                                  
                                                         #...................#               ##............#                                                                 #.# #.#                                                  
                                                         #########.#######.###             ##D.............#                                                                 #.# #.#                                                  
                                                                 #.#     #.#              #...........######                             ##########                          #.# #.#                                                  
                                                                 #.#     #.#             ##...####.##.#                                  #M.......#                          #.# #.#                                                  
                                                                 #.#     #.#            #....#   #.##.#                                  #........#                         #..# #.#                                                  
                                                                 #.#     #.#           #..#.#    #.##.#                                  #........#                         #.#  #.#                                                  
                                                                 #.#     #.#           #....#    #.##.#                                  #........#                        #..#  #.#                                                  
                                                                 #.#     #.#           #..##     #.##.#                                  #........#                        #.#   #.#                                                  
                                                                 #.#     #.#          #...#      #....#                                  #....@...#                        #.#   #.#                                                  
                                                                 #.#     #.#          #...#       ##..#                                  #......M.#                       #..#   #.#                                                  
                                                                 #.#     #.#       ###...#         #..##                                 #........#                       #.#    #.#                                                  
                                                             #####.#######.#####  #....##          #....#                                #...c.c..##                     ##.#    #.#                                                  
                                                             #.................#  #....#            #.#.#                                #.........D#                   #...#    #.#                                                  
